region,year,value
경상북도,2000.0,63.151
경상남도,2000.0,63.151
제주특별자치도,2000.0,63.151
서울특별시,2001.0,65.71908333333333
부산광역시,2001.0,65.71908333333333
대구광역시,2001.0,65.71908333333333
인천광역시,2001.0,65.71908333333333
광주광역시,2001.0,65.71908333333333
대전광역시,2001.0,65.71908333333333
울산광역시,2001.0,65.71908333333333
세종특별자치시,2001.0,65.71908333333333
경기도,2001.0,65.71908333333333
강원도,2001.0,65.71908333333333
충청북도,2001.0,65.71908333333333
충청남도,2001.0,65.71908333333333
전라북도,2001.0,65.71908333333333
전라남도,2001.0,65.71908333333333
경상북도,2001.0,65.71908333333333
경상남도,2001.0,65.71908333333333
제주특별자치도,2001.0,65.71908333333333
서울특별시,2002.0,67.53441666666667
부산광역시,2002.0,67.53441666666667
대구광역시,2002.0,67.53441666666667
인천광역시,2002.0,67.53441666666667
광주광역시,2002.0,67.53441666666667
대전광역시,2002.0,67.53441666666667
울산광역시,2002.0,67.53441666666667
세종특별자치시,2002.0,67.53441666666667
경기도,2002.0,67.53441666666667
강원도,2002.0,67.53441666666667
충청북도,2002.0,67.53441666666667
충청남도,2002.0,67.53441666666667
전라북도,2002.0,67.53441666666667
전라남도,2002.0,67.53441666666667
경상북도,2002.0,67.53441666666667
경상남도,2002.0,67.53441666666667
제주특별자치도,2002.0,67.53441666666667
서울특별시,2003.0,69.90816666666667
부산광역시,2003.0,69.90816666666667
대구광역시,2003.0,69.90816666666667
인천광역시,2003.0,69.90816666666667
광주광역시,2003.0,69.90816666666667
대전광역시,2003.0,69.90816666666667
울산광역시,2003.0,69.90816666666667
세종특별자치시,2003.0,69.90816666666667
경기도,2003.0,69.90816666666667
강원도,2003.0,69.90816666666667
충청북도,2003.0,69.90816666666667
충청남도,2003.0,69.90816666666667
전라북도,2003.0,69.90816666666667
전라남도,2003.0,69.90816666666667
경상북도,2003.0,69.90816666666667
경상남도,2003.0,69.90816666666667
제주특별자치도,2003.0,69.90816666666667
서울특별시,2004.0,72.41833333333334
부산광역시,2004.0,72.41833333333334
대구광역시,2004.0,72.41833333333334
인천광역시,2004.0,72.41833333333334
광주광역시,2004.0,72.41833333333334
대전광역시,2004.0,72.41833333333334
울산광역시,2004.0,72.41833333333334
세종특별자치시,2004.0,72.41833333333334
경기도,2004.0,72.41833333333334
강원도,2004.0,72.41833333333334
충청북도,2004.0,72.41833333333334
충청남도,2004.0,72.41833333333334
전라북도,2004.0,72.41833333333334
전라남도,2004.0,72.41833333333334
경상북도,2004.0,72.41833333333334
경상남도,2004.0,72.41833333333334
제주특별자치도,2004.0,72.41833333333334
서울특별시,2005.0,74.41258333333333
부산광역시,2005.0,74.41258333333333
대구광역시,2005.0,74.41258333333333
인천광역시,2005.0,74.41258333333333
광주광역시,2005.0,74.41258333333333
대전광역시,2005.0,74.41258333333333
울산광역시,2005.0,74.41258333333333
세종특별자치시,2005.0,74.41258333333333
경기도,2005.0,74.41258333333333
강원도,2005.0,74.41258333333333
충청북도,2005.0,74.41258333333333
충청남도,2005.0,74.41258333333333
전라북도,2005.0,74.41258333333333
전라남도,2005.0,74.41258333333333
경상북도,2005.0,74.41258333333333
경상남도,2005.0,74.41258333333333
제주특별자치도,2005.0,74.41258333333333
서울특별시,2006.0,76.08116666666666
부산광역시,2006.0,76.08116666666666
대구광역시,2006.0,76.08116666666666
인천광역시,2006.0,76.08116666666666
광주광역시,2006.0,76.08116666666666
대전광역시,2006.0,76.08116666666666
울산광역시,2006.0,76.08116666666666
세종특별자치시,2006.0,76.08116666666666
경기도,2006.0,76.08116666666666
강원도,2006.0,76.08116666666666
충청북도,2006.0,76.08116666666666
충청남도,2006.0,76.08116666666666
전라북도,2006.0,76.08116666666666
전라남도,2006.0,76.08116666666666
경상북도,2006.0,76.08116666666666
경상남도,2006.0,76.08116666666666
제주특별자치도,2006.0,76.08116666666666
서울특별시,2007.0,78.0095
부산광역시,2007.0,78.0095
대구광역시,2007.0,78.0095
인천광역시,2007.0,78.0095
광주광역시,2007.0,78.0095
대전광역시,2007.0,78.0095
울산광역시,2007.0,78.0095
세종특별자치시,2007.0,78.0095
경기도,2007.0,78.0095
강원도,2007.0,78.0095
충청북도,2007.0,78.0095
충청남도,2007.0,78.0095
전라북도,2007.0,78.0095
전라남도,2007.0,78.0095
경상북도,2007.0,78.0095
경상남도,2007.0,78.0095
제주특별자치도,2007.0,78.0095
서울특별시,2008.0,81.65558333333333
부산광역시,2008.0,81.65558333333333
대구광역시,2008.0,81.65558333333333
인천광역시,2008.0,81.65558333333333
광주광역시,2008.0,81.65558333333333
대전광역시,2008.0,81.65558333333333
울산광역시,2008.0,81.65558333333333
세종특별자치시,2008.0,81.65558333333333
경기도,2008.0,81.65558333333333
강원도,2008.0,81.65558333333333
충청북도,2008.0,81.65558333333333
충청남도,2008.0,81.65558333333333
전라북도,2008.0,81.65558333333333
전라남도,2008.0,81.65558333333333
경상북도,2008.0,81.65558333333333
경상남도,2008.0,81.65558333333333
제주특별자치도,2008.0,81.65558333333333
서울특별시,2009.0,83.90641666666666
부산광역시,2009.0,83.90641666666666
대구광역시,2009.0,83.90641666666666
인천광역시,2009.0,83.90641666666666
광주광역시,2009.0,83.90641666666666
대전광역시,2009.0,83.90641666666666
울산광역시,2009.0,83.90641666666666
세종특별자치시,2009.0,83.90641666666666
경기도,2009.0,83.90641666666666
강원도,2009.0,83.90641666666666
충청북도,2009.0,83.90641666666666
충청남도,2009.0,83.90641666666666
전라북도,2009.0,83.90641666666666
전라남도,2009.0,83.90641666666666
경상북도,2009.0,83.90641666666666
경상남도,2009.0,83.90641666666666
제주특별자치도,2009.0,83.90641666666666
서울특별시,2010.0,86.37266666666666
부산광역시,2010.0,86.37266666666666
대구광역시,2010.0,86.37266666666666
인천광역시,2010.0,86.37266666666666
광주광역시,2010.0,86.37266666666666
대전광역시,2010.0,86.37266666666666
울산광역시,2010.0,86.37266666666666
세종특별자치시,2010.0,86.37266666666666
경기도,2010.0,86.37266666666666
강원도,2010.0,86.37266666666666
충청북도,2010.0,86.37266666666666
충청남도,2010.0,86.37266666666666
전라북도,2010.0,86.37266666666666
전라남도,2010.0,86.37266666666666
경상북도,2010.0,86.37266666666666
경상남도,2010.0,86.37266666666666
제주특별자치도,2010.0,86.37266666666666
서울특별시,2011.0,89.85000000000001
부산광역시,2011.0,89.85000000000001
대구광역시,2011.0,89.85000000000001
인천광역시,2011.0,89.85000000000001
광주광역시,2011.0,89.85000000000001
대전광역시,2011.0,89.85000000000001
울산광역시,2011.0,89.85000000000001
세종특별자치시,2011.0,89.85000000000001
경기도,2011.0,89.85000000000001
강원도,2011.0,89.85000000000001
충청북도,2011.0,89.85000000000001
충청남도,2011.0,89.85000000000001
전라북도,2011.0,89.85000000000001
전라남도,2011.0,89.85000000000001
경상북도,2011.0,89.85000000000001
경상남도,2011.0,89.85000000000001
제주특별자치도,2011.0,89.85000000000001
서울특별시,2012.0,91.81508333333333
부산광역시,2012.0,91.81508333333333
대구광역시,2012.0,91.81508333333333
인천광역시,2012.0,91.81508333333333
광주광역시,2012.0,91.81508333333333
대전광역시,2012.0,91.81508333333333
울산광역시,2012.0,91.81508333333333
세종특별자치시,2012.0,91.81508333333333
경기도,2012.0,91.81508333333333
강원도,2012.0,91.81508333333333
충청북도,2012.0,91.81508333333333
충청남도,2012.0,91.81508333333333
전라북도,2012.0,91.81508333333333
전라남도,2012.0,91.81508333333333
경상북도,2012.0,91.81508333333333
경상남도,2012.0,91.81508333333333
제주특별자치도,2012.0,91.81508333333333
서울특별시,2013.0,93.00991666666665
부산광역시,2013.0,93.00991666666665
대구광역시,2013.0,93.00991666666665
인천광역시,2013.0,93.00991666666665
광주광역시,2013.0,93.00991666666665
대전광역시,2013.0,93.00991666666665
울산광역시,2013.0,93.00991666666665
세종특별자치시,2013.0,93.00991666666665
경기도,2013.0,93.00991666666665
강원도,2013.0,93.00991666666665
충청북도,2013.0,93.00991666666665
충청남도,2013.0,93.00991666666665
전라북도,2013.0,93.00991666666665
전라남도,2013.0,93.00991666666665
경상북도,2013.0,93.00991666666665
경상남도,2013.0,93.00991666666665
제주특별자치도,2013.0,93.00991666666665
서울특별시,2014.0,94.19558333333333
부산광역시,2014.0,94.19558333333333
대구광역시,2014.0,94.19558333333333
인천광역시,2014.0,94.19558333333333
광주광역시,2014.0,94.19558333333333
대전광역시,2014.0,94.19558333333333
울산광역시,2014.0,94.19558333333333
세종특별자치시,2014.0,94.19558333333333
경기도,2014.0,94.19558333333333
강원도,2014.0,94.19558333333333
충청북도,2014.0,94.19558333333333
충청남도,2014.0,94.19558333333333
전라북도,2014.0,94.19558333333333
전라남도,2014.0,94.19558333333333
경상북도,2014.0,94.19558333333333
경상남도,2014.0,94.19558333333333
제주특별자치도,2014.0,94.19558333333333
서울특별시,2015.0,94.86091666666665
부산광역시,2015.0,94.86091666666665
대구광역시,2015.0,94.86091666666665
인천광역시,2015.0,94.86091666666665
광주광역시,2015.0,94.86091666666665
대전광역시,2015.0,94.86091666666665
울산광역시,2015.0,94.86091666666665
세종특별자치시,2015.0,94.86091666666665
경기도,2015.0,94.86091666666665
강원도,2015.0,94.86091666666665
충청북도,2015.0,94.86091666666665
충청남도,2015.0,94.86091666666665
전라북도,2015.0,94.86091666666665
전라남도,2015.0,94.86091666666665
경상북도,2015.0,94.86091666666665
경상남도,2015.0,94.86091666666665
제주특별자치도,2015.0,94.86091666666665
서울특별시,2016.0,95.78266666666667
부산광역시,2016.0,95.78266666666667
대구광역시,2016.0,95.78266666666667
인천광역시,2016.0,95.78266666666667
광주광역시,2016.0,95.78266666666667
대전광역시,2016.0,95.78266666666667
울산광역시,2016.0,95.78266666666667
세종특별자치시,2016.0,95.78266666666667
경기도,2016.0,95.78266666666667
강원도,2016.0,95.78266666666667
충청북도,2016.0,95.78266666666667
충청남도,2016.0,95.78266666666667
전라북도,2016.0,95.78266666666667
전라남도,2016.0,95.78266666666667
경상북도,2016.0,95.78266666666667
경상남도,2016.0,95.78266666666667
제주특별자치도,2016.0,95.78266666666667
서울특별시,2017.0,97.645
부산광역시,2017.0,97.645
대구광역시,2017.0,97.645
인천광역시,2017.0,97.645
광주광역시,2017.0,97.645
대전광역시,2017.0,97.645
울산광역시,2017.0,97.645
세종특별자치시,2017.0,97.645
경기도,2017.0,97.645
강원도,2017.0,97.645
충청북도,2017.0,97.645
충청남도,2017.0,97.645
전라북도,2017.0,97.645
전라남도,2017.0,97.645
경상북도,2017.0,97.645
경상남도,2017.0,97.645
제주특별자치도,2017.0,97.645
서울특별시,2018.0,99.08608333333332
부산광역시,2018.0,99.08608333333332
대구광역시,2018.0,99.08608333333332
인천광역시,2018.0,99.08608333333332
광주광역시,2018.0,99.08608333333332
대전광역시,2018.0,99.08608333333332
울산광역시,2018.0,99.08608333333332
세종특별자치시,2018.0,99.08608333333332
경기도,2018.0,99.08608333333332
강원도,2018.0,99.08608333333332
충청북도,2018.0,99.08608333333332
충청남도,2018.0,99.08608333333332
전라북도,2018.0,99.08608333333332
전라남도,2018.0,99.08608333333332
경상북도,2018.0,99.08608333333332
경상남도,2018.0,99.08608333333332
제주특별자치도,2018.0,99.08608333333332
서울특별시,2019.0,99.46558333333333
부산광역시,2019.0,99.46558333333333
대구광역시,2019.0,99.46558333333333
인천광역시,2019.0,99.46558333333333
광주광역시,2019.0,99.46558333333333
대전광역시,2019.0,99.46558333333333
울산광역시,2019.0,99.46558333333333
세종특별자치시,2019.0,99.46558333333333
경기도,2019.0,99.46558333333333
강원도,2019.0,99.46558333333333
충청북도,2019.0,99.46558333333333
충청남도,2019.0,99.46558333333333
전라북도,2019.0,99.46558333333333
전라남도,2019.0,99.46558333333333
경상북도,2019.0,99.46558333333333
경상남도,2019.0,99.46558333333333
제주특별자치도,2019.0,99.46558333333333
서울특별시,2020.0,100.0
부산광역시,2020.0,100.0
대구광역시,2020.0,100.0
인천광역시,2020.0,100.0
광주광역시,2020.0,100.0
대전광역시,2020.0,100.0
울산광역시,2020.0,100.0
세종특별자치시,2020.0,100.0
경기도,2020.0,100.0
강원도,2020.0,100.0
충청북도,2020.0,100.0
충청남도,2020.0,100.0
전라북도,2020.0,100.0
전라남도,2020.0,100.0
경상북도,2020.0,100.0
경상남도,2020.0,100.0
제주특별자치도,2020.0,100.0
서울특별시,2021.0,102.49833333333333
부산광역시,2021.0,102.49833333333333
대구광역시,2021.0,102.49833333333333
인천광역시,2021.0,102.49833333333333
광주광역시,2021.0,102.49833333333333
대전광역시,2021.0,102.49833333333333
울산광역시,2021.0,102.49833333333333
세종특별자치시,2021.0,102.49833333333333
경기도,2021.0,102.49833333333333
강원도,2021.0,102.49833333333333
충청북도,2021.0,102.49833333333333
충청남도,2021.0,102.49833333333333
전라북도,2021.0,102.49833333333333
전라남도,2021.0,102.49833333333333
경상북도,2021.0,102.49833333333333
경상남도,2021.0,102.49833333333333
제주특별자치도,2021.0,102.49833333333333
서울특별시,2022.0,107.71499999999999
부산광역시,2022.0,107.71499999999999
대구광역시,2022.0,107.71499999999999
인천광역시,2022.0,107.71499999999999
