year,region,bds_score,fiscal_autonomy_ratio,gdp_2023,cpi,manufacturing_index
2003,전라남도,2.5816265109168652,0.21,85319,69.90816666666667,80.03333333333333
2003,경상북도,3.039201349808502,0.292,119278,69.90816666666667,80.03333333333333
2003,강원도,2.616019079439697,0.267,56534,69.90816666666667,80.03333333333333
2003,서울특별시,7.371027667128116,0.959,508134,69.90816666666667,80.03333333333333
2003,인천광역시,4.513593221774692,0.746,111713,69.90816666666667,80.03333333333333
2003,대전광역시,4.148025748686398,0.736,50363,69.90816666666667,80.03333333333333
2003,제주특별자치도,2.7973965287049403,0.374,24073,69.90816666666667,80.03333333333333
2003,대구광역시,4.336386508417397,0.764,67890,69.90816666666667,80.03333333333333
2003,전라북도,2.59181674709981,0.256,58845,69.90816666666667,80.03333333333333
2004,경기도,7.188844086021505,0.7879999999999999,578124,72.41833333333334,81.83333333333333
2004,충청남도,3.162464137797337,0.305,134256,72.41833333333334,81.83333333333333
2004,경상남도,3.367517426824358,0.3829999999999999,123721,72.41833333333334,81.83333333333333
2004,광주광역시,3.6832899095232934,0.598,48615,72.41833333333334,81.83333333333333
2004,부산광역시,4.510218153852651,0.7559999999999999,103284,72.41833333333334,81.83333333333333
2004,충청북도,2.9131871652551378,0.313,83254,72.41833333333334,81.83333333333333
2004,울산광역시,4.169367166046182,0.696,77569,72.41833333333334,81.83333333333333
2004,전라남도,2.5816265109168652,0.211,85319,72.41833333333334,81.83333333333333
2004,경상북도,3.0444009349183974,0.294,119278,72.41833333333334,81.83333333333333
2004,강원도,2.6878621820711626,0.289,56534,72.41833333333334,81.83333333333333
2004,서울특별시,7.371027667128116,0.955,508134,72.41833333333334,81.83333333333333
2004,인천광역시,4.565939001811157,0.759,111713,72.41833333333334,81.83333333333333
2004,대전광역시,4.183346140032565,0.7440000000000001,50363,72.41833333333334,81.83333333333333
2004,제주특별자치도,2.706989247311828,0.347,24073,72.41833333333334,81.83333333333333
2004,대구광역시,4.23792637519317,0.732,67890,72.41833333333334,81.83333333333333
2004,전라북도,2.5995690189461422,0.259,58845,72.41833333333334,81.83333333333333
2005,경기도,7.097112860892389,0.762,578124,74.41258333333333,82.7
2005,충청남도,3.266551429305254,0.327,134256,74.41258333333333,82.7
2005,경상남도,3.3669882590993563,0.375,123721,74.41258333333333,82.7
2005,광주광역시,3.7181885209871837,0.606,48615,74.41258333333333,82.7
2005,부산광역시,4.434150293383597,0.7340000000000001,103284,74.41258333333333,82.7
2005,충청북도,2.9575843373828152,0.317,83254,74.41258333333333,82.7
2005,울산광역시,4.180082812477477,0.6990000000000001,77569,74.41258333333333,82.7
2005,전라남도,2.5816265109168652,0.1989999999999999,85319,74.41258333333333,82.7
2005,경상북도,3.0837445552723053,0.296,119278,74.41258333333333,82.7
2005,강원도,2.675109239898612,0.275,56534,74.41258333333333,82.7
