region,year,value
충청남도,2008.0,103.06666666666666
전라북도,2008.0,103.06666666666666
전라남도,2008.0,103.06666666666666
경상북도,2008.0,103.06666666666666
경상남도,2008.0,103.06666666666666
제주특별자치도,2008.0,103.06666666666666
서울특별시,2009.0,99.24166666666667
부산광역시,2009.0,99.24166666666667
대구광역시,2009.0,99.24166666666667
인천광역시,2009.0,99.24166666666667
광주광역시,2009.0,99.24166666666667
대전광역시,2009.0,99.24166666666667
울산광역시,2009.0,99.24166666666667
세종특별자치시,2009.0,99.24166666666667
경기도,2009.0,99.24166666666667
강원도,2009.0,99.24166666666667
충청북도,2009.0,99.24166666666667
충청남도,2009.0,99.24166666666667
전라북도,2009.0,99.24166666666667
전라남도,2009.0,99.24166666666667
경상북도,2009.0,99.24166666666667
경상남도,2009.0,99.24166666666667
제주특별자치도,2009.0,99.24166666666667
서울특별시,2010.0,115.64166666666667
부산광역시,2010.0,115.64166666666667
대구광역시,2010.0,115.64166666666667
인천광역시,2010.0,115.64166666666667
광주광역시,2010.0,115.64166666666667
대전광역시,2010.0,115.64166666666667
울산광역시,2010.0,115.64166666666667
세종특별자치시,2010.0,115.64166666666667
경기도,2010.0,115.64166666666667
강원도,2010.0,115.64166666666667
충청북도,2010.0,115.64166666666667
충청남도,2010.0,115.64166666666667
전라북도,2010.0,115.64166666666667
전라남도,2010.0,115.64166666666667
경상북도,2010.0,115.64166666666667
경상남도,2010.0,115.64166666666667
제주특별자치도,2010.0,115.64166666666667
서울특별시,2011.0,123.28333333333335
부산광역시,2011.0,123.28333333333335
대구광역시,2011.0,123.28333333333335
인천광역시,2011.0,123.28333333333335
광주광역시,2011.0,123.28333333333335
대전광역시,2011.0,123.28333333333335
울산광역시,2011.0,123.28333333333335
세종특별자치시,2011.0,123.28333333333335
경기도,2011.0,123.28333333333335
강원도,2011.0,123.28333333333335
충청북도,2011.0,123.28333333333335
충청남도,2011.0,123.28333333333335
전라북도,2011.0,123.28333333333335
전라남도,2011.0,123.28333333333335
경상북도,2011.0,123.28333333333335
경상남도,2011.0,123.28333333333335
제주특별자치도,2011.0,123.28333333333335
서울특별시,2012.0,122.79166666666667
부산광역시,2012.0,122.79166666666667
대구광역시,2012.0,122.79166666666667
인천광역시,2012.0,122.79166666666667
광주광역시,2012.0,122.79166666666667
대전광역시,2012.0,122.79166666666667
울산광역시,2012.0,122.79166666666667
세종특별자치시,2012.0,122.79166666666667
경기도,2012.0,122.79166666666667
강원도,2012.0,122.79166666666667
충청북도,2012.0,122.79166666666667
충청남도,2012.0,122.79166666666667
전라북도,2012.0,122.79166666666667
전라남도,2012.0,122.79166666666667
경상북도,2012.0,122.79166666666667
경상남도,2012.0,122.79166666666667
제주특별자치도,2012.0,122.79166666666667
서울특별시,2013.0,115.74166666666667
부산광역시,2013.0,115.74166666666667
대구광역시,2013.0,115.74166666666667
인천광역시,2013.0,115.74166666666667
광주광역시,2013.0,115.74166666666667
대전광역시,2013.0,115.74166666666667
울산광역시,2013.0,115.74166666666667
세종특별자치시,2013.0,115.74166666666667
경기도,2013.0,115.74166666666667
강원도,2013.0,115.74166666666667
충청북도,2013.0,115.74166666666667
충청남도,2013.0,115.74166666666667
전라북도,2013.0,115.74166666666667
전라남도,2013.0,115.74166666666667
경상북도,2013.0,115.74166666666667
경상남도,2013.0,115.74166666666667
제주특별자치도,2013.0,115.74166666666667
서울특별시,2014.0,113.16666666666667
부산광역시,2014.0,113.16666666666667
대구광역시,2014.0,113.16666666666667
인천광역시,2014.0,113.16666666666667
광주광역시,2014.0,113.16666666666667
대전광역시,2014.0,113.16666666666667
울산광역시,2014.0,113.16666666666667
세종특별자치시,2014.0,113.16666666666667
경기도,2014.0,113.16666666666667
강원도,2014.0,113.16666666666667
충청북도,2014.0,113.16666666666667
충청남도,2014.0,113.16666666666667
전라북도,2014.0,113.16666666666667
전라남도,2014.0,113.16666666666667
경상북도,2014.0,113.16666666666667
경상남도,2014.0,113.16666666666667
제주특별자치도,2014.0,113.16666666666667
서울특별시,2015.0,106.26666666666667
부산광역시,2015.0,106.26666666666667
대구광역시,2015.0,106.26666666666667
인천광역시,2015.0,106.26666666666667
광주광역시,2015.0,106.26666666666667
대전광역시,2015.0,106.26666666666667
울산광역시,2015.0,106.26666666666667
세종특별자치시,2015.0,106.26666666666667
경기도,2015.0,106.26666666666667
강원도,2015.0,106.26666666666667
충청북도,2015.0,106.26666666666667
충청남도,2015.0,106.26666666666667
전라북도,2015.0,106.26666666666667
전라남도,2015.0,106.26666666666667
경상북도,2015.0,106.26666666666667
경상남도,2015.0,106.26666666666667
제주특별자치도,2015.0,106.26666666666667
서울특별시,2016.0,103.75833333333333
부산광역시,2016.0,103.75833333333333
대구광역시,2016.0,103.75833333333333
인천광역시,2016.0,103.75833333333333
광주광역시,2016.0,103.75833333333333
대전광역시,2016.0,103.75833333333333
울산광역시,2016.0,103.75833333333333
세종특별자치시,2016.0,103.75833333333333
경기도,2016.0,103.75833333333333
강원도,2016.0,103.75833333333333
충청북도,2016.0,103.75833333333333
충청남도,2016.0,103.75833333333333
전라북도,2016.0,103.75833333333333
전라남도,2016.0,103.75833333333333
경상북도,2016.0,103.75833333333333
경상남도,2016.0,103.75833333333333
제주특별자치도,2016.0,103.75833333333333
서울특별시,2017.0,106.70833333333333
부산광역시,2017.0,106.70833333333333
대구광역시,2017.0,106.70833333333333
인천광역시,2017.0,106.70833333333333
광주광역시,2017.0,106.70833333333333
대전광역시,2017.0,106.70833333333333
울산광역시,2017.0,106.70833333333333
세종특별자치시,2017.0,106.70833333333333
경기도,2017.0,106.70833333333333
강원도,2017.0,106.70833333333333
충청북도,2017.0,106.70833333333333
충청남도,2017.0,106.70833333333333
전라북도,2017.0,106.70833333333333
전라남도,2017.0,106.70833333333333
경상북도,2017.0,106.70833333333333
경상남도,2017.0,106.70833333333333
제주특별자치도,2017.0,106.70833333333333
서울특별시,2018.0,102.06666666666666
부산광역시,2018.0,102.06666666666666
대구광역시,2018.0,102.06666666666666
인천광역시,2018.0,102.06666666666666
광주광역시,2018.0,102.06666666666666
대전광역시,2018.0,102.06666666666666
울산광역시,2018.0,102.06666666666666
세종특별자치시,2018.0,102.06666666666666
경기도,2018.0,102.06666666666666
강원도,2018.0,102.06666666666666
충청북도,2018.0,102.06666666666666
충청남도,2018.0,102.06666666666666
전라북도,2018.0,102.06666666666666
전라남도,2018.0,102.06666666666666
경상북도,2018.0,102.06666666666666
경상남도,2018.0,102.06666666666666
제주특별자치도,2018.0,102.06666666666666
서울특별시,2019.0,97.72500000000001
부산광역시,2019.0,97.72500000000001
대구광역시,2019.0,97.72500000000001
인천광역시,2019.0,97.72500000000001
광주광역시,2019.0,97.72500000000001
대전광역시,2019.0,97.72500000000001
울산광역시,2019.0,97.72500000000001
세종특별자치시,2019.0,97.72500000000001
경기도,2019.0,97.72500000000001
강원도,2019.0,97.72500000000001
충청북도,2019.0,97.72500000000001
충청남도,2019.0,97.72500000000001
전라북도,2019.0,97.72500000000001
전라남도,2019.0,97.72500000000001
경상북도,2019.0,97.72500000000001
경상남도,2019.0,97.72500000000001
제주특별자치도,2019.0,97.72500000000001
서울특별시,2020.0,100.00833333333333
부산광역시,2020.0,100.00833333333333
대구광역시,2020.0,100.00833333333333
인천광역시,2020.0,100.00833333333333
광주광역시,2020.0,100.00833333333333
대전광역시,2020.0,100.00833333333333
울산광역시,2020.0,100.00833333333333
세종특별자치시,2020.0,100.00833333333333
경기도,2020.0,100.00833333333333
강원도,2020.0,100.00833333333333
충청북도,2020.0,100.00833333333333
충청남도,2020.0,100.00833333333333
전라북도,2020.0,100.00833333333333
전라남도,2020.0,100.00833333333333
경상북도,2020.0,100.00833333333333
경상남도,2020.0,100.00833333333333
제주특별자치도,2020.0,100.00833333333333
서울특별시,2021.0,109.66666666666667
부산광역시,2021.0,109.66666666666667
대구광역시,2021.0,109.66666666666667
인천광역시,2021.0,109.66666666666667
광주광역시,2021.0,109.66666666666667
대전광역시,2021.0,109.66666666666667
울산광역시,2021.0,109.66666666666667
세종특별자치시,2021.0,109.66666666666667
경기도,2021.0,109.66666666666667
강원도,2021.0,109.66666666666667
충청북도,2021.0,109.66666666666667
충청남도,2021.0,109.66666666666667
전라북도,2021.0,109.66666666666667
전라남도,2021.0,109.66666666666667
경상북도,2021.0,109.66666666666667
경상남도,2021.0,109.66666666666667
제주특별자치도,2021.0,109.66666666666667
서울특별시,2022.0,115.875
부산광역시,2022.0,115.875
대구광역시,2022.0,115.875
인천광역시,2022.0,115.875
광주광역시,2022.0,115.875
대전광역시,2022.0,115.875
울산광역시,2022.0,115.875
세종특별자치시,2022.0,115.875
경기도,2022.0,115.875
강원도,2022.0,115.875
충청북도,2022.0,115.875
충청남도,2022.0,115.875
전라북도,2022.0,115.875
전라남도,2022.0,115.875
경상북도,2022.0,115.875
경상남도,2022.0,115.875
제주특별자치도,2022.0,115.875
서울특별시,2023.0,109.71666666666665
부산광역시,2023.0,109.71666666666665
대구광역시,2023.0,109.71666666666665
인천광역시,2023.0,109.71666666666665
광주광역시,2023.0,109.71666666666665
대전광역시,2023.0,109.71666666666665
울산광역시,2023.0,109.71666666666665
세종특별자치시,2023.0,109.71666666666665
경기도,2023.0,109.71666666666665
강원도,2023.0,109.71666666666665
충청북도,2023.0,109.71666666666665
충청남도,2023.0,109.71666666666665
전라북도,2023.0,109.71666666666665
전라남도,2023.0,109.71666666666665
경상북도,2023.0,109.71666666666665
경상남도,2023.0,109.71666666666665
제주특별자치도,2023.0,109.71666666666665
서울특별시,2024.0,115.18333333333334
부산광역시,2024.0,115.18333333333334
대구광역시,2024.0,115.18333333333334
인천광역시,2024.0,115.18333333333334
광주광역시,2024.0,115.18333333333334
대전광역시,2024.0,115.18333333333334
울산광역시,2024.0,115.18333333333334
세종특별자치시,2024.0,115.18333333333334
경기도,2024.0,115.18333333333334
강원도,2024.0,115.18333333333334
충청북도,2024.0,115.18333333333334
충청남도,2024.0,115.18333333333334
전라북도,2024.0,115.18333333333334
전라남도,2024.0,115.18333333333334
경상북도,2024.0,115.18333333333334
경상남도,2024.0,115.18333333333334
제주특별자치도,2024.0,115.18333333333334
서울특별시,2025.0,120.20000000000002
부산광역시,2025.0,120.20000000000002
대구광역시,2025.0,120.20000000000002
인천광역시,2025.0,120.20000000000002
광주광역시,2025.0,120.20000000000002
대전광역시,2025.0,120.20000000000002
울산광역시,2025.0,120.20000000000002
세종특별자치시,2025.0,120.20000000000002
경기도,2025.0,120.20000000000002
강원도,2025.0,120.20000000000002
충청북도,2025.0,120.20000000000002
충청남도,2025.0,120.20000000000002
전라북도,2025.0,120.20000000000002
전라남도,2025.0,120.20000000000002
경상북도,2025.0,120.20000000000002
경상남도,2025.0,120.20000000000002
제주특별자치도,2025.0,120.20000000000002
