id,stat_code,item_code,item_name,unit,cycle_type,created_at
199,101Y002,,신탁형증권저축,,A,2025-08-25 01:12:51
200,101Y002,,신탁형증권저축,,M,2025-08-25 01:12:51
201,101Y002,,신탁형증권저축,,Q,2025-08-25 01:12:51
202,101Y002,,만기2년미만외화예수금,,A,2025-08-25 01:12:51
203,101Y002,,만기2년미만외화예수금,,M,2025-08-25 01:12:51
204,101Y002,,만기2년미만외화예수금,,Q,2025-08-25 01:12:51
205,101Y002,,만기2년미만금융채,,A,2025-08-25 01:12:51
206,101Y002,,만기2년미만금융채,,M,2025-08-25 01:12:51
207,101Y002,,만기2년미만금융채,,Q,2025-08-25 01:12:51
208,101Y002,,환매조건부채권매도,,A,2025-08-25 01:12:51
209,101Y002,,환매조건부채권매도,,M,2025-08-25 01:12:51
210,101Y002,,환매조건부채권매도,,Q,2025-08-25 01:12:51
211,101Y006,,"M2(평잔, 계절조정계열) 1)",,M,2025-08-25 01:12:53
212,101Y006,,가계 및 비영리단체 2),,M,2025-08-25 01:12:53
213,101Y006,,기업 3),,M,2025-08-25 01:12:53
214,101Y006,,기타금융기관 4),,M,2025-08-25 01:12:53
215,101Y006,,기타부문 5),,M,2025-08-25 01:12:53
216,101Y015,,"M2(평잔, 원계열)",,A,2025-08-25 01:12:53
217,101Y015,,"M2(평잔, 원계열)",,M,2025-08-25 01:12:53
218,101Y015,,"M2(평잔, 원계열)",,Q,2025-08-25 01:12:53
219,101Y015,,가계 및 비영리단체 1),,A,2025-08-25 01:12:53
220,101Y015,,가계 및 비영리단체 1),,M,2025-08-25 01:12:53
221,101Y015,,가계 및 비영리단체 1),,Q,2025-08-25 01:12:53
222,101Y015,,기업 2),,A,2025-08-25 01:12:53
223,101Y015,,기업 2),,M,2025-08-25 01:12:53
224,101Y015,,기업 2),,Q,2025-08-25 01:12:53
225,101Y015,,기타금융기관 3),,A,2025-08-25 01:12:53
226,101Y015,,기타금융기관 3),,M,2025-08-25 01:12:53
227,101Y015,,기타금융기관 3),,Q,2025-08-25 01:12:53
228,101Y015,,기타부문 4),,A,2025-08-25 01:12:53
229,101Y015,,기타부문 4),,M,2025-08-25 01:12:53
230,101Y015,,기타부문 4),,Q,2025-08-25 01:12:53
231,101Y005,,"M2(말잔, 계절조정계열) 1)",,M,2025-08-25 01:12:54
232,101Y005,,가계 및 비영리단체 2),,M,2025-08-25 01:12:54
233,101Y005,,기업 3),,M,2025-08-25 01:12:54
234,101Y005,,기타금융기관 4),,M,2025-08-25 01:12:54
235,101Y005,,기타부문 5),,M,2025-08-25 01:12:54
236,101Y014,,"M2(말잔, 원계열)",,A,2025-08-25 01:12:54
237,101Y014,,"M2(말잔, 원계열)",,M,2025-08-25 01:12:54
238,101Y014,,"M2(말잔, 원계열)",,Q,2025-08-25 01:12:54
239,101Y014,,가계 및 비영리단체 1),,A,2025-08-25 01:12:54
240,101Y014,,가계 및 비영리단체 1),,M,2025-08-25 01:12:54
241,101Y014,,가계 및 비영리단체 1),,Q,2025-08-25 01:12:54
242,101Y014,,기업 2),,A,2025-08-25 01:12:54
243,101Y014,,기업 2),,M,2025-08-25 01:12:54
244,101Y014,,기업 2),,Q,2025-08-25 01:12:54
245,101Y014,,기타금융기관 3),,A,2025-08-25 01:12:54
246,101Y014,,기타금융기관 3),,M,2025-08-25 01:12:54
247,101Y014,,기타금융기관 3),,Q,2025-08-25 01:12:54
248,101Y014,,기타부문 4),,A,2025-08-25 01:12:54
249,101Y014,,기타부문 4),,M,2025-08-25 01:12:54
250,101Y014,,기타부문 4),,Q,2025-08-25 01:12:54
251,101Y008,,M2(평잔),,A,2025-08-25 01:12:56
252,101Y008,,M2(평잔),,M,2025-08-25 01:12:56
253,101Y008,,M2(평잔),,Q,2025-08-25 01:12:56
254,101Y008,,중앙은행,,A,2025-08-25 01:12:56
255,101Y008,,중앙은행,,M,2025-08-25 01:12:56
256,101Y008,,중앙은행,,Q,2025-08-25 01:12:56
257,101Y008,,기타예금취급기관,,A,2025-08-25 01:12:56
258,101Y008,,기타예금취급기관,,M,2025-08-25 01:12:56
259,101Y008,,기타예금취급기관,,Q,2025-08-25 01:12:56
260,101Y008,,예금은행,,A,2025-08-25 01:12:56
261,101Y008,,예금은행,,M,2025-08-25 01:12:56
262,101Y008,,예금은행,,Q,2025-08-25 01:12:56
263,101Y008,,종합금융,,A,2025-08-25 01:12:56
264,101Y008,,종합금융,,M,2025-08-25 01:12:56
265,101Y008,,종합금융,,Q,2025-08-25 01:12:56
266,101Y008,,자산운용회사,,A,2025-08-25 01:12:56
267,101Y008,,자산운용회사,,M,2025-08-25 01:12:56
268,101Y008,,자산운용회사,,Q,2025-08-25 01:12:56
269,101Y008,,신탁회사,,A,2025-08-25 01:12:56
270,101Y008,,신탁회사,,M,2025-08-25 01:12:56
271,101Y008,,신탁회사,,Q,2025-08-25 01:12:56
272,101Y008,,상호저축은행,,A,2025-08-25 01:12:56
273,101Y008,,상호저축은행,,M,2025-08-25 01:12:56
274,101Y008,,상호저축은행,,Q,2025-08-25 01:12:56
275,101Y008,,신용협동조합,,A,2025-08-25 01:12:56
276,101Y008,,신용협동조합,,M,2025-08-25 01:12:56
277,101Y008,,신용협동조합,,Q,2025-08-25 01:12:56
278,101Y008,,상호금융,,A,2025-08-25 01:12:56
279,101Y008,,상호금융,,M,2025-08-25 01:12:56
280,101Y008,,상호금융,,Q,2025-08-25 01:12:56
281,101Y008,,새마을금고,,A,2025-08-25 01:12:56
282,101Y008,,새마을금고,,M,2025-08-25 01:12:56
283,101Y008,,새마을금고,,Q,2025-08-25 01:12:56
284,101Y008,,우체국예금,,A,2025-08-25 01:12:56
285,101Y008,,우체국예금,,M,2025-08-25 01:12:56
286,101Y008,,우체국예금,,Q,2025-08-25 01:12:56
287,101Y008,,수출입은행,,A,2025-08-25 01:12:56
288,101Y008,,수출입은행,,M,2025-08-25 01:12:56
289,101Y008,,수출입은행,,Q,2025-08-25 01:12:56
290,101Y007,,M2(말잔),,A,2025-08-25 01:12:56
291,101Y007,,M2(말잔),,M,2025-08-25 01:12:56
292,101Y007,,M2(말잔),,Q,2025-08-25 01:12:56
293,101Y007,,중앙은행,,A,2025-08-25 01:12:56
294,101Y007,,중앙은행,,M,2025-08-25 01:12:56
295,101Y007,,중앙은행,,Q,2025-08-25 01:12:56
296,101Y007,,기타예금취급기관,,A,2025-08-25 01:12:56
297,101Y007,,기타예금취급기관,,M,2025-08-25 01:12:56
298,101Y007,,기타예금취급기관,,Q,2025-08-25 01:12:56
299,101Y007,,예금은행,,A,2025-08-25 01:12:56
300,101Y007,,예금은행,,M,2025-08-25 01:12:56
301,101Y007,,예금은행,,Q,2025-08-25 01:12:56
302,101Y007,,종합금융,,A,2025-08-25 01:12:56
303,101Y007,,종합금융,,M,2025-08-25 01:12:56
304,101Y007,,종합금융,,Q,2025-08-25 01:12:56
305,101Y007,,자산운용회사,,A,2025-08-25 01:12:56
306,101Y007,,자산운용회사,,M,2025-08-25 01:12:56
307,101Y007,,자산운용회사,,Q,2025-08-25 01:12:56
308,101Y007,,신탁회사,,A,2025-08-25 01:12:56
309,101Y007,,신탁회사,,M,2025-08-25 01:12:56
310,101Y007,,신탁회사,,Q,2025-08-25 01:12:56
311,101Y007,,상호저축은행,,A,2025-08-25 01:12:56
312,101Y007,,상호저축은행,,M,2025-08-25 01:12:56
313,101Y007,,상호저축은행,,Q,2025-08-25 01:12:56
314,101Y007,,신용협동조합,,A,2025-08-25 01:12:56
315,101Y007,,신용협동조합,,M,2025-08-25 01:12:56
316,101Y007,,신용협동조합,,Q,2025-08-25 01:12:56
317,101Y007,,상호금융,,A,2025-08-25 01:12:56
318,101Y007,,상호금융,,M,2025-08-25 01:12:56
319,101Y007,,상호금융,,Q,2025-08-25 01:12:56
320,101Y007,,새마을금고,,A,2025-08-25 01:12:56
321,101Y007,,새마을금고,,M,2025-08-25 01:12:56
322,101Y007,,새마을금고,,Q,2025-08-25 01:12:56
323,101Y007,,우체국예금,,A,2025-08-25 01:12:56
324,101Y007,,우체국예금,,M,2025-08-25 01:12:56
325,101Y007,,우체국예금,,Q,2025-08-25 01:12:56
326,101Y007,,수출입은행,,A,2025-08-25 01:12:56
327,101Y007,,수출입은행,,M,2025-08-25 01:12:56
328,101Y007,,수출입은행,,Q,2025-08-25 01:12:56
329,111Y003,,"Lf(금융기관유동성) : 상품별(평잔, 계절조정계열)",,A,2025-08-25 01:12:58
330,111Y003,,"Lf(금융기관유동성) : 상품별(평잔, 계절조정계열)",,M,2025-08-25 01:12:58
331,111Y003,,M2,,A,2025-08-25 01:12:58
332,111Y003,,M2,,M,2025-08-25 01:12:58
333,111Y003,,2년이상 장기금융상품 등 1),,A,2025-08-25 01:12:58
334,111Y003,,2년이상 장기금융상품 등 1),,M,2025-08-25 01:12:58
335,111Y003,,생명보험계약 준비금 등 2),,A,2025-08-25 01:12:58
336,111Y003,,생명보험계약 준비금 등 2),,M,2025-08-25 01:12:58
337,111Y004,,"Lf(금융기관유동성) : 상품별(평잔,원계열)",,A,2025-08-25 01:12:59
338,111Y004,,"Lf(금융기관유동성) : 상품별(평잔,원계열)",,M,2025-08-25 01:12:59
339,111Y004,,"Lf(금융기관유동성) : 상품별(평잔,원계열)",,Q,2025-08-25 01:12:59
340,111Y004,,예금취급기관,,A,2025-08-25 01:12:59
341,111Y004,,예금취급기관,,M,2025-08-25 01:12:59
342,111Y004,,예금취급기관,,Q,2025-08-25 01:12:59
343,111Y004,,현금통화,,A,2025-08-25 01:12:59
