region,year,bds_value,gdp_value,data_source,scenario,base_rate,exchange_rate,cpi,gdp_growth,koribor,gov_bond_3y,corp_bond_3y,bds_score,economic_stress,financial_stability,growth_potential
경상남도,2009,4.628216760798226,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,46.28216760798226,67.5,83.33333333333333,65.0
경상남도,2010,2.641886306670905,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,26.41886306670905,67.5,83.33333333333333,65.0
경상남도,2011,4.441660386126218,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,44.416603861262175,67.5,83.33333333333333,65.0
경상남도,2012,5.210936484246895,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,52.10936484246895,67.5,83.33333333333333,65.0
경상남도,2013,4.483013703445298,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,44.83013703445298,67.5,83.33333333333333,65.0
경상남도,2014,4.496491810842992,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,44.96491810842991,67.5,83.33333333333333,65.0
경상남도,2015,1.0320460545222454,116381.553,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,10.320460545222454,67.5,83.33333333333333,65.0
경상남도,2016,0.3213730750659284,118456.345,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,3.213730750659284,67.5,83.33333333333333,65.0
경상남도,2017,0.9719626284470836,117937.716,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,9.719626284470836,67.5,83.33333333333333,65.0
경상남도,2018,0.4601474239685422,119142.019,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,4.601474239685422,67.5,83.33333333333333,65.0
경상남도,2019,0.8146183968931724,121423.72,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,8.146183968931723,67.5,83.33333333333333,65.0
경상남도,2020,0.8523439348265803,114653.975,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,8.523439348265804,67.5,83.33333333333333,65.0
경상남도,2021,0.928397776682345,116960.035,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,9.283977766823451,67.5,83.33333333333333,65.0
경상남도,2022,0.6966784756993443,121090.992,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,6.966784756993443,67.5,83.33333333333333,65.0
경상남도,2023,0.7122015159165273,123721.632,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,7.122015159165272,67.5,83.33333333333333,65.0
경상남도,2024,1.081216598133824,126031.313,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,10.81216598133824,67.5,83.33333333333333,65.0
경상남도,2025,1.041721728107279,30405.582,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,10.41721728107279,67.5,83.33333333333333,65.0
제주도,1997,5.22407125833242,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,52.240712583324196,67.5,83.33333333333333,65.0
제주도,1998,5.420251368696281,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,54.20251368696281,67.5,83.33333333333333,65.0
제주도,1999,5.393376974030953,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,53.93376974030953,67.5,83.33333333333333,65.0
제주도,2000,4.531538644395687,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,45.315386443956875,67.5,83.33333333333333,65.0
제주도,2001,4.869688810455307,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,48.696888104553075,67.5,83.33333333333333,65.0
제주도,2002,5.240384890217178,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,52.40384890217178,67.5,83.33333333333333,65.0
제주도,2003,6.707420787627841,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,67.07420787627841,67.5,83.33333333333333,65.0
제주도,2004,4.155513690226846,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,41.555136902268465,67.5,83.33333333333333,65.0
제주도,2005,5.900706504047503,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,59.00706504047503,67.5,83.33333333333333,65.0
제주도,2006,4.651143218046776,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,46.511432180467764,67.5,83.33333333333333,65.0
제주도,2007,4.448677972630975,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,44.48677972630975,67.5,83.33333333333333,65.0
제주도,2008,7.540885970900937,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,75.40885970900936,67.5,83.33333333333333,65.0
제주도,2009,5.734112410884608,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,57.341124108846074,67.5,83.33333333333333,65.0
제주도,2010,5.249624960092438,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,52.496249600924386,67.5,83.33333333333333,65.0
제주도,2011,5.3008471386018705,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,53.008471386018705,67.5,83.33333333333333,65.0
제주도,2012,2.932253974399231,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,29.32253974399231,67.5,83.33333333333333,65.0
제주도,2013,5.188843026112223,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,51.88843026112223,67.5,83.33333333333333,65.0
제주도,2014,4.740297790667313,,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,47.40297790667313,67.5,83.33333333333333,65.0
제주도,2015,0.2374099011490067,19717.894,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,2.374099011490067,67.5,83.33333333333333,65.0
제주도,2016,0.0390717266702808,21100.823,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,0.390717266702808,67.5,83.33333333333333,65.0
제주도,2017,0.1633533819807455,22564.141,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,1.6335338198074552,67.5,83.33333333333333,65.0
제주도,2018,0.5347013637218809,22777.045,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,5.34701363721881,67.5,83.33333333333333,65.0
제주도,2019,0.9793856779132478,22951.902,NAVIS,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,9.793856779132478,67.5,83.33333333333333,65.0
제주도,2020,0.5237398670388332,21668.785,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,5.237398670388332,67.5,83.33333333333333,65.0
제주도,2021,0.5327199884397741,22346.39,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,5.327199884397741,67.5,83.33333333333333,65.0
제주도,2022,0.1718756575592419,23364.425,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,1.718756575592419,67.5,83.33333333333333,65.0
제주도,2023,0.7303876757139716,24073.959000000003,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,7.303876757139715,67.5,83.33333333333333,65.0
제주도,2024,0.3999109378422562,24572.492,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,3.9991093784225615,67.5,83.33333333333333,65.0
