id,stat_code,item_code,item_name,unit,cycle_type,raw_item_name,created_at
130,101Y004,,신탁형증권저축,,M,신탁형증권저축,2025-08-25 01:14:43
131,101Y004,,신탁형증권저축,,Q,신탁형증권저축,2025-08-25 01:14:43
132,101Y004,,만기2년미만외화예수금,,A,만기2년미만외화예수금,2025-08-25 01:14:43
133,101Y004,,만기2년미만외화예수금,,M,만기2년미만외화예수금,2025-08-25 01:14:43
134,101Y004,,만기2년미만외화예수금,,Q,만기2년미만외화예수금,2025-08-25 01:14:43
135,101Y004,,만기2년미만금융채,,A,만기2년미만금융채,2025-08-25 01:14:43
136,101Y004,,만기2년미만금융채,,M,만기2년미만금융채,2025-08-25 01:14:43
137,101Y004,,만기2년미만금융채,,Q,만기2년미만금융채,2025-08-25 01:14:43
138,101Y004,,환매조건부채권매도,,A,환매조건부채권매도,2025-08-25 01:14:43
139,101Y004,,환매조건부채권매도,,M,환매조건부채권매도,2025-08-25 01:14:43
140,101Y004,,환매조건부채권매도,,Q,환매조건부채권매도,2025-08-25 01:14:43
141,101Y001,,"M2(말잔, 계절조정계열)",,A,"M2(말잔, 계절조정계열)",2025-08-25 01:14:44
142,101Y001,,"M2(말잔, 계절조정계열)",,M,"M2(말잔, 계절조정계열)",2025-08-25 01:14:44
143,101Y001,,현금통화,,A,현금통화,2025-08-25 01:14:44
144,101Y001,,현금통화,,M,현금통화,2025-08-25 01:14:44
145,101Y001,,요구불예금,,A,요구불예금,2025-08-25 01:14:44
146,101Y001,,요구불예금,,M,요구불예금,2025-08-25 01:14:44
147,101Y001,,수시입출식저축성예금,,A,수시입출식저축성예금,2025-08-25 01:14:44
148,101Y001,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:44
149,101Y001,,MMF,,A,MMF,2025-08-25 01:14:44
150,101Y001,,MMF,,M,MMF,2025-08-25 01:14:44
151,101Y001,,만기2년미만정기예적금,,A,만기2년미만정기예적금,2025-08-25 01:14:44
152,101Y001,,만기2년미만정기예적금,,M,만기2년미만정기예적금,2025-08-25 01:14:44
153,101Y001,,수익증권,,A,수익증권,2025-08-25 01:14:44
154,101Y001,,수익증권,,M,수익증권,2025-08-25 01:14:44
155,101Y001,,시장형상품 1),,A,시장형상품 1),2025-08-25 01:14:44
156,101Y001,,시장형상품 1),,M,시장형상품 1),2025-08-25 01:14:44
157,101Y001,,만기2년미만금융채,,A,만기2년미만금융채,2025-08-25 01:14:44
158,101Y001,,만기2년미만금융채,,M,만기2년미만금융채,2025-08-25 01:14:44
159,101Y001,,만기2년미만금전신탁,,A,만기2년미만금전신탁,2025-08-25 01:14:44
160,101Y001,,만기2년미만금전신탁,,M,만기2년미만금전신탁,2025-08-25 01:14:44
161,101Y001,,기타 2),,A,기타 2),2025-08-25 01:14:44
162,101Y001,,기타 2),,M,기타 2),2025-08-25 01:14:44
163,101Y002,,"M2(말잔, 원계열)",,A,"M2(말잔, 원계열)",2025-08-25 01:14:44
164,101Y002,,"M2(말잔, 원계열)",,M,"M2(말잔, 원계열)",2025-08-25 01:14:44
165,101Y002,,"M2(말잔, 원계열)",,Q,"M2(말잔, 원계열)",2025-08-25 01:14:44
166,101Y002,,현금통화,,A,현금통화,2025-08-25 01:14:44
167,101Y002,,현금통화,,M,현금통화,2025-08-25 01:14:44
168,101Y002,,현금통화,,Q,현금통화,2025-08-25 01:14:44
169,101Y002,,요구불예금,,A,요구불예금,2025-08-25 01:14:44
170,101Y002,,요구불예금,,M,요구불예금,2025-08-25 01:14:44
171,101Y002,,요구불예금,,Q,요구불예금,2025-08-25 01:14:44
172,101Y002,,수시입출식저축성예금,,A,수시입출식저축성예금,2025-08-25 01:14:44
173,101Y002,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:44
174,101Y002,,수시입출식저축성예금,,Q,수시입출식저축성예금,2025-08-25 01:14:44
175,101Y002,,MMF,,A,MMF,2025-08-25 01:14:44
176,101Y002,,MMF,,M,MMF,2025-08-25 01:14:44
177,101Y002,,MMF,,Q,MMF,2025-08-25 01:14:44
178,101Y002,,만기2년미만정기예적금,,A,만기2년미만정기예적금,2025-08-25 01:14:44
179,101Y002,,만기2년미만정기예적금,,M,만기2년미만정기예적금,2025-08-25 01:14:44
180,101Y002,,만기2년미만정기예적금,,Q,만기2년미만정기예적금,2025-08-25 01:14:44
181,101Y002,,양도성예금증서,,A,양도성예금증서,2025-08-25 01:14:44
182,101Y002,,양도성예금증서,,M,양도성예금증서,2025-08-25 01:14:44
183,101Y002,,양도성예금증서,,Q,양도성예금증서,2025-08-25 01:14:44
184,101Y002,,매출어음,,A,매출어음,2025-08-25 01:14:44
185,101Y002,,매출어음,,M,매출어음,2025-08-25 01:14:44
