year,region,fiscal_autonomy_ratio,fiscal_independence_ratio,source
2011,경상남도,0.426,0.742,KOSIS
2011,인천광역시,0.693,0.794,KOSIS
2011,부산광역시,0.564,0.743,KOSIS
2011,서울특별시,0.903,0.917,KOSIS
2011,충청북도,0.327,0.715,KOSIS
2011,전국,0.519,0.767,KOSIS
2011,경상북도,0.281,0.736,KOSIS
2011,광주광역시,0.475,0.6990000000000001,KOSIS
2011,충청남도,0.354,0.711,KOSIS
2011,대전광역시,0.5720000000000001,0.7490000000000001,KOSIS
2011,경기도,0.725,0.818,KOSIS
2012,울산광역시,0.7120000000000001,0.809,KOSIS
2012,대구광역시,0.528,0.754,KOSIS
2012,강원도,0.26899999999999996,0.741,KOSIS
2012,전라북도,0.26,0.693,KOSIS
2012,제주특별자치도,0.285,0.6809999999999999,KOSIS
2012,전라남도,0.214,0.6679999999999999,KOSIS
2012,경상남도,0.433,0.745,KOSIS
2012,인천광역시,0.71,0.8059999999999999,KOSIS
2012,부산광역시,0.574,0.757,KOSIS
2012,서울특별시,0.902,0.915,KOSIS
2012,충청북도,0.342,0.736,KOSIS
2012,전국,0.523,0.772,KOSIS
2012,경상북도,0.28300000000000003,0.731,KOSIS
2012,광주광역시,0.466,0.6990000000000001,KOSIS
2012,충청남도,0.355,0.71,KOSIS
2012,대전광역시,0.583,0.762,KOSIS
2012,경기도,0.726,0.8170000000000001,KOSIS
2013,울산광역시,0.7070000000000001,0.8,KOSIS
2013,대구광역시,0.518,0.75,KOSIS
2013,강원도,0.266,0.741,KOSIS
2013,세종특별자치시,0.38799999999999996,0.777,KOSIS
2013,전라북도,0.257,0.691,KOSIS
2013,제주특별자치도,0.306,0.706,KOSIS
2013,전라남도,0.217,0.685,KOSIS
2013,경상남도,0.41700000000000004,0.7340000000000001,KOSIS
2013,인천광역시,0.6729999999999999,0.773,KOSIS
2013,부산광역시,0.5660000000000001,0.741,KOSIS
2013,서울특별시,0.888,0.9009999999999999,KOSIS
2013,충청북도,0.342,0.736,KOSIS
2013,전국,0.511,0.7659999999999999,KOSIS
2013,경상북도,0.28,0.732,KOSIS
2013,광주광역시,0.45399999999999996,0.6759999999999999,KOSIS
2013,충청남도,0.36,0.718,KOSIS
2013,대전광역시,0.575,0.754,KOSIS
2013,경기도,0.716,0.8140000000000001,KOSIS
2014,울산광역시,0.614,0.6940000000000001,KOSIS
2014,대구광역시,0.461,0.6759999999999999,KOSIS
2014,강원도,0.222,0.6829999999999999,KOSIS
2014,세종특별자치시,0.47600000000000003,0.773,KOSIS
2014,전라북도,0.228,0.631,KOSIS
2014,제주특별자치도,0.301,0.669,KOSIS
2014,전라남도,0.174,0.624,KOSIS
2014,경상남도,0.36,0.665,KOSIS
2014,인천광역시,0.626,0.718,KOSIS
2014,부산광역시,0.514,0.6659999999999999,KOSIS
2014,서울특별시,0.8,0.812,KOSIS
2014,충청북도,0.266,0.6609999999999999,KOSIS
2014,전국,0.44799999999999995,0.6920000000000001,KOSIS
2014,경상북도,0.22699999999999998,0.6609999999999999,KOSIS
2014,광주광역시,0.419,0.625,KOSIS
2014,충청남도,0.302,0.659,KOSIS
2014,대전광역시,0.494,0.6659999999999999,KOSIS
2014,경기도,0.612,0.715,KOSIS
2015,울산광역시,0.636,0.711,KOSIS
2015,대구광역시,0.469,0.657,KOSIS
2015,강원도,0.215,0.6459999999999999,KOSIS
2015,세종특별자치시,0.44,0.672,KOSIS
2015,전라북도,0.221,0.611,KOSIS
2015,제주특별자치도,0.303,0.634,KOSIS
2015,전라남도,0.17800000000000002,0.605,KOSIS
2015,경상남도,0.374,0.6609999999999999,KOSIS
2015,인천광역시,0.591,0.684,KOSIS
2015,부산광역시,0.51,0.6509999999999999,KOSIS
2015,서울특별시,0.8029999999999999,0.8140000000000001,KOSIS
2015,충청북도,0.281,0.6559999999999999,KOSIS
2015,전국,0.451,0.68,KOSIS
2015,경상북도,0.243,0.654,KOSIS
2015,광주광역시,0.442,0.62,KOSIS
2015,충청남도,0.304,0.655,KOSIS
2015,대전광역시,0.493,0.662,KOSIS
2015,경기도,0.607,0.7,KOSIS
2016,울산광역시,0.623,0.706,KOSIS
2016,대구광역시,0.506,0.67,KOSIS
2016,강원도,0.22399999999999998,0.6409999999999999,KOSIS
2016,세종특별자치시,0.442,0.612,KOSIS
2016,전라북도,0.23600000000000002,0.616,KOSIS
2016,제주특별자치도,0.315,0.634,KOSIS
2016,전라남도,0.193,0.611,KOSIS
2016,경상남도,0.366,0.655,KOSIS
2016,인천광역시,0.625,0.7290000000000001,KOSIS
2016,부산광역시,0.509,0.625,KOSIS
2016,서울특별시,0.807,0.818,KOSIS
2016,충청북도,0.28800000000000003,0.657,KOSIS
2016,전국,0.466,0.684,KOSIS
2016,경상북도,0.261,0.635,KOSIS
2016,광주광역시,0.467,0.65,KOSIS
2016,충청남도,0.335,0.6659999999999999,KOSIS
2016,대전광역시,0.503,0.6729999999999999,KOSIS
2016,경기도,0.616,0.711,KOSIS
2017,울산광역시,0.602,0.688,KOSIS
2017,대구광역시,0.499,0.659,KOSIS
2017,강원도,0.24100000000000002,0.68,KOSIS
2017,세종특별자치시,0.58,0.6759999999999999,KOSIS
2017,전라북도,0.223,0.618,KOSIS
2017,제주특별자치도,0.337,0.659,KOSIS
2017,전라남도,0.2,0.609,KOSIS
2017,경상남도,0.387,0.6629999999999999,KOSIS
2017,인천광역시,0.605,0.71,KOSIS
2017,부산광역시,0.529,0.628,KOSIS
2017,서울특별시,0.805,0.8170000000000001,KOSIS
2017,충청북도,0.3,0.652,KOSIS
2017,전국,0.47200000000000003,0.684,KOSIS
2017,경상북도,0.262,0.6409999999999999,KOSIS
2017,광주광역시,0.44799999999999995,0.644,KOSIS
2017,충청남도,0.34299999999999997,0.6729999999999999,KOSIS
2017,대전광역시,0.509,0.6809999999999999,KOSIS
2017,경기도,0.613,0.696,KOSIS
2018,울산광역시,0.599,0.7,KOSIS
2018,대구광역시,0.47600000000000003,0.64,KOSIS
2018,강원도,0.235,0.711,KOSIS
2018,세종특별자치시,0.5710000000000001,0.608,KOSIS
2018,전라북도,0.215,0.628,KOSIS
2018,제주특별자치도,0.345,0.669,KOSIS
2018,전라남도,0.198,0.612,KOSIS
2018,경상남도,0.377,0.664,KOSIS
2018,인천광역시,0.603,0.706,KOSIS
2018,부산광역시,0.523,0.619,KOSIS
2018,서울특별시,0.792,0.804,KOSIS
2018,충청북도,0.29600000000000004,0.6559999999999999,KOSIS
2018,전국,0.46799999999999997,0.687,KOSIS
2018,경상북도,0.262,0.652,KOSIS
2018,광주광역시,0.43799999999999994,0.636,KOSIS
2018,충청남도,0.345,0.6779999999999999,KOSIS
2018,대전광역시,0.47100000000000003,0.6559999999999999,KOSIS
2018,경기도,0.619,0.708,KOSIS
2019,울산광역시,0.537,0.6829999999999999,KOSIS
2019,대구광역시,0.45899999999999996,0.632,KOSIS
2019,강원도,0.235,0.708,KOSIS
2019,세종특별자치시,0.621,0.6579999999999999,KOSIS
2019,전라북도,0.204,0.631,KOSIS
2019,제주특별자치도,0.33,0.674,KOSIS
2019,전라남도,0.191,0.616,KOSIS
2019,경상남도,0.33399999999999996,0.644,KOSIS
2019,인천광역시,0.5770000000000001,0.687,KOSIS
2019,부산광역시,0.5,0.614,KOSIS
2019,서울특별시,0.765,0.78,KOSIS
2019,충청북도,0.287,0.6559999999999999,KOSIS
2019,전국,0.449,0.6779999999999999,KOSIS
2019,경상북도,0.249,0.649,KOSIS
2019,광주광역시,0.408,0.628,KOSIS
2019,충청남도,0.33,0.6729999999999999,KOSIS
2019,대전광역시,0.439,0.6659999999999999,KOSIS
2019,경기도,0.605,0.6940000000000001,KOSIS
2020,울산광역시,0.516,0.675,KOSIS
2020,대구광역시,0.45399999999999996,0.615,KOSIS
2020,강원도,0.258,0.731,KOSIS
2020,세종특별자치시,0.593,0.652,KOSIS
2020,전라북도,0.249,0.6659999999999999,KOSIS
2020,제주특별자치도,0.32899999999999996,0.631,KOSIS
2020,전라남도,0.233,0.667,KOSIS
2020,경상남도,0.34299999999999997,0.657,KOSIS
2020,인천광역시,0.54,0.6629999999999999,KOSIS
2020,부산광역시,0.49200000000000005,0.61,KOSIS
2020,서울특별시,0.7609999999999999,0.778,KOSIS
2020,충청북도,0.301,0.688,KOSIS
2020,전국,0.452,0.687,KOSIS
2020,경상북도,0.271,0.6890000000000001,KOSIS
2020,광주광역시,0.41100000000000003,0.624,KOSIS
2020,충청남도,0.344,0.698,KOSIS
2020,대전광역시,0.414,0.631,KOSIS
2020,경기도,0.586,0.693,KOSIS
2021,울산광역시,0.496,0.652,KOSIS
